Repository URL,Semantic Rating,Syntactic Rating
https://github.com/mrmime23/ansibleExample,0,0
https://github.com/mrmime23/example1,0,0
https://github.com/mrmime23/example2,0,0
https://github.com/mrmime23/flaskExample,0,0
https://github.com/quantumecho1/testPython,0.5,1.0
https://github.com/quantumecho1/sqlInjectionTest,0,0
https://github.com/twoonhands/dockerExample,0,0
https://github.com/twoonhands/lectEx1,0,0
https://github.com/twoonhands/lectEx2,0,0
https://github.com/quantumecho1/examplePY,0,0
https://github.com/bootcamp-f16/python-examples,0.7527985074626866,1.0
https://github.com/cbfollett/Server_Code,0.5,1.0
https://github.com/picotera/rabbit-coat,0.5120772946859904,0
https://github.com/miklosparrag/central_heating,0.6735294117647059,0.9130434782608695
https://github.com/300CIS017-Object-Oriented-Programming/streamlit_example_app,0.3942307692307692,0.8636363636363636
https://github.com/oblalex/txinvoke,0.7608024691358025,0.9375
https://github.com/AnthonyPuggs/Hotel-Scraper,0.75,0.9696969696969697
https://github.com/SI364-Winter2018/Sample-Login-OAuth-Example,0.5,0.95
https://github.com/BirdBrain34/4pics1word-,0.75,0.7631578947368421
https://github.com/Ascend/canncamp,0.6702115935114504,0.914161008729389
